"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"476","K02912","RP-L32e, RPL32; large subunit ribosomal protein L32e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"477","K00380","cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]","Pathway module","Energy metabolism","Sulfur metabolism","Assimilatory sulfate reduction, sulfate => H2S",NA,NA,NA,NA,NA,NA
"478","K03030","PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11","Structural complex","Genetic information processing","Proteasome","Proteasome, 19S regulatory particle (PA700)",NA,NA,NA,NA,NA,NA
"479","K15272","SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","K16465","CETN1; centrin-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","K10846","ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","K04487","iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","K01369","LGMN; legumain [EC:3.4.22.34]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","K03704","cspA; cold shock protein (beta-ribbon, CspA family)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","K00059","fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, elongation","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","fabG","3-oxoacyl-[acyl-carrier protein] reductase ",""
"486","K00059","fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","fabG","3-oxoacyl-[acyl-carrier protein] reductase ",""
"487","K17732","PMPCB, MAS1; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","K14305","NUP43; nuclear pore complex protein Nup43","Structural complex","Genetic information processing","RNA processing","Nuclear pore complex",NA,NA,NA,NA,NA,NA
"489","K11990","DHH; desert hedgehog","Functional set","Environmental information processing","Cell signaling","Hedgehog signaling",NA,NA,NA,NA,NA,NA
"490","K04515","CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Calvin cycle","Calvin cycle","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"492","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"493","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","C metabolism","Calvin cycle","Calvin cycle","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"494","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"495","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Methane metabolism","Formaldehyde assimilation, xylulose monophosphate pathway","C metabolism","Calvin cycle","Calvin cycle","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"496","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Energy metabolism","Methane metabolism","Formaldehyde assimilation, xylulose monophosphate pathway","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"497","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Calvin cycle","Calvin cycle","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"498","K03841","FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","FBP, fbp","fructose-1,6-bisphosphatase I ",""
"499","K18040","PTPN23; tyrosine-protein phosphatase non-receptor type 23 [EC:3.1.3.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","K00219","fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","K10839","RAD23, HR23; UV excision repair protein RAD23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","K12396","AP3D; AP-3 complex subunit delta",NA,NA,NA,NA,"Phagotrophy","Lysosome associated","Lysosome binding and processing","AP3D1","AP-3 complex subunit delta-1","Mckie-Krisberg et al. 2018"
"503","K04345","PKA; protein kinase A [EC:2.7.11.11]","Functional set","Environmental information processing","Cell signaling","cAMP signaling",NA,NA,NA,NA,NA,NA
"504","K06207","typA, bipA; GTP-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","K02472","wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","K10807","RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]","Pathway module","Nucleotide and amino acid metabolism","Pyrimidine metabolism","Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP",NA,NA,NA,NA,NA,NA
"507","K15032","MTERFD; mTERF domain-containing protein, mitochondrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","K02938","RP-L8e, RPL8; large subunit ribosomal protein L8e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"509","K12838","PUF60; poly(U)-binding-splicing factor PUF60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","K02054","ABC.SP.P1; putative spermidine/putrescine transport system permease protein","Structural complex","Environmental information processing","Mineral and organic ion transport system","Putative spermidine/putrescine transport system [BR:ko02000]",NA,NA,NA,NA,NA,NA
"511","K05991","E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","K12825","SF3A1, SAP114; splicing factor 3A subunit 1","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U2-snRNP",NA,NA,NA,NA,NA,NA
"513","K03243","EIF5B; translation initiation factor 5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","K01672","CA; carbonic anhydrase [EC:4.2.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","K03257","EIF4A; translation initiation factor 4A","Structural complex","Genetic information processing","RNA processing","eIF4F complex",NA,NA,NA,NA,NA,NA
"516","K17095","ANXA7_11; annexin A7/11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","K04840","SCN8A; voltage-gated sodium channel type VIII alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","K02327","POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]","Structural complex","Genetic information processing","DNA polymerase","DNA polymerase delta complex",NA,NA,NA,NA,NA,NA
"519","K00325","pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","K17341","HMCN; hemicentin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","K11314","TADA2A, ADA2; transcriptional adapter 2-alpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","K03032","PSMD1, RPN2; 26S proteasome regulatory subunit N2","Structural complex","Genetic information processing","Proteasome","Proteasome, 19S regulatory particle (PA700)",NA,NA,NA,NA,NA,NA
"523","K14293","KPNB1, IPO1; importin subunit beta-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","K14004","SEC13; protein transport protein SEC13","Structural complex","Genetic information processing","RNA processing","Nuclear pore complex",NA,NA,NA,NA,NA,NA
"525","K14004","SEC13; protein transport protein SEC13","Structural complex","Genetic information processing","Protein processing","COPII complex",NA,NA,NA,NA,NA,NA
"526","K04079","HSP90A, htpG; molecular chaperone HtpG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","K03252","EIF3C; translation initiation factor 3 subunit C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","K08762","DBI, ACBP; diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","K18164","NDUFAF7; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","K14015","NPLOC4, NPL4; nuclear protein localization protein 4 homolog","Structural complex","Genetic information processing","Protein processing","p97-Ufd1-Npl4 complex",NA,NA,NA,NA,NA,NA
"531","K14015","NPLOC4, NPL4; nuclear protein localization protein 4 homolog","Structural complex","Genetic information processing","Protein processing","HRD1/SEL1 ERAD complex",NA,NA,NA,NA,NA,NA
"532","K05610","UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","K00457","HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Tyrosine degradation, tyrosine => homogentisate",NA,NA,NA,NA,NA,NA
"534","K02906","RP-L3, MRPL3, rplC; large subunit ribosomal protein L3","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"535","K02906","RP-L3, MRPL3, rplC; large subunit ribosomal protein L3","Structural complex","Genetic information processing","Ribosome","Ribosome, archaea",NA,NA,NA,NA,NA,NA
"536","K12836","U2AF1; splicing factor U2AF 35 kDa subunit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","K08866","TTK, MPS1; serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","K09503","DNAJA2; DnaJ homolog subfamily A member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","K10901","BLM, RECQL3, SGS1; bloom syndrome protein [EC:3.6.4.12]","Structural complex","Genetic information processing","Repair system","BRCA1-associated genome surveillance complex (BASC)",NA,NA,NA,NA,NA,NA
"540","K10901","BLM, RECQL3, SGS1; bloom syndrome protein [EC:3.6.4.12]","Structural complex","Genetic information processing","Repair system","Bloom's syndrome complex",NA,NA,NA,NA,NA,NA
"541","K19584","PRKX; protein kinase X [EC:2.7.11.11]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","K06188","aqpZ; aquaporin Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","K01555","FAH, fahA; fumarylacetoacetase [EC:3.7.1.2]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Tyrosine degradation, tyrosine => homogentisate",NA,NA,NA,NA,NA,NA
"544","K03097","CSNK2A; casein kinase II subunit alpha [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","K02884","RP-L19, MRPL19, rplS; large subunit ribosomal protein L19","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"546","K10401","KIF18_19; kinesin family member 18/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","K03327","TC.MATE, SLC47A, norM, mdtK, dinF; multidrug resistance protein, MATE family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","K11644","SIN3A; paired amphipathic helix protein Sin3a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","K18595","EML1_2; echinoderm microtubule-associated protein-like 1/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","K13126","PABPC; polyadenylate-binding protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","K08568","CTSZ; cathepsin X [EC:3.4.18.1]",NA,NA,NA,NA,"Phagotrophy","Lysosome associated","Lysosome binding and processing","CTSZ","cathepsin X [EC:3.4.18.1]","Labarre et al. 2019; Flannagan et al. 2012"
"552","K09699","DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Leucine degradation, leucine => acetoacetate + acetyl-CoA",NA,NA,NA,NA,NA,NA
"553","K03260","EIF4G; translation initiation factor 4G","Structural complex","Genetic information processing","RNA processing","eIF4F complex",NA,NA,NA,NA,NA,NA
"554","K02940","RP-L9e, RPL9; large subunit ribosomal protein L9e","Structural complex","Genetic information processing","Ribosome","Ribosome, eukaryotes",NA,NA,NA,NA,NA,NA
"555","K09522","DNAJC2; DnaJ homolog subfamily C member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","K09668","LARGE; glycosyltransferase-like protein LARGE [EC:2.4.2.- 2.4.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","K05544","DUS3; tRNA-dihydrouridine synthase 3 [EC:1.3.1.89]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","K06067","HDAC1_2; histone deacetylase 1/2 [EC:3.5.1.98]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","K11968","ARIH1; ariadne-1 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","K19827","MACF1; microtuble-actin crosslinking factor 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","K14001","SIL1, SLS1; nucleotide exchange factor SIL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","K15111","SLC25A26; solute carrier family 25 (mitochondrial S-adenosylmethionine transporter), member 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","K03839","fldA, nifF, isiB; flavodoxin I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","K01414","prlC; oligopeptidase A [EC:3.4.24.70]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","K13162","PCBP2_3_4; poly(rC)-binding protein 2/3/4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","K19527","VPS13D; vacuolar protein sorting-associated protein 13D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"568","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"569","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle (Calvin cycle)","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"570","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"571","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"572","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Energy metabolism","Carbon fixation","Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"573","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"574","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"575","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"576","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"577","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"578","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Glycolysis, core module involving three-carbon compounds","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"579","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"580","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"581","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Gluconeogenesis, oxaloacetate => fructose-6P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"582","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"583","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"584","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"585","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Calvin cycle","Calvin cycle","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"586","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Gluconeogenesis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"587","K00134","GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P","C metabolism","Gluconeogenesis-Glycolysis","Glycolysis","GAPDH, gapA","glyceraldehyde 3-phosphate dehydrogenase ",""
"588","K11723","BRD7_9; bromodomain-containing protein 7/9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Pyruvate oxidation, pyruvate => acetyl-CoA","Energy Acquisition","TCA cycle","TCA cycle","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase ",""
"590","K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","TCA cycle","TCA cycle","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase ",""
"591","K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Energy Acquisition","TCA cycle","TCA cycle","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase ",""
"592","K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Photorespiration","Energy Acquisition","TCA cycle","TCA cycle","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase ",""
"593","K00382","DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]","Pathway module","Nucleotide and amino acid metabolism","Branched-chain amino acid metabolism","Leucine degradation, leucine => acetoacetate + acetyl-CoA","Energy Acquisition","TCA cycle","TCA cycle","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase ",""
"594","K04849","CACNA1B; voltage-dependent calcium channel N type alpha-1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","K12041","SLC9A6_7, NHE6_7; solute carrier family 9 (sodium/hydrogen exchanger), member 6/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","K03107","SRP68; signal recognition particle subunit SRP68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","K13103","TFIP11; tuftelin-interacting protein 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","K15275","SLC35B1; solute carrier family 35 (UDP-galactose transporter), member B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","K13116","DDX41, ABS; ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","K00800","aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate",NA,NA,NA,NA,NA,NA
"601","K03696","clpC; ATP-dependent Clp protease ATP-binding subunit ClpC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","K17351","TSPAN10; tetraspanin-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","K17766","TOM34; mitochondrial import receptor subunit TOM34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","K14794","RRP12; ribosomal RNA-processing protein 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","K00854","xylB, XYLB; xylulokinase [EC:2.7.1.17]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Glucuronate pathway (uronate pathway)",NA,NA,NA,NA,NA,NA
"606","K19382","TCTN1_3; tectonic-1/3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","K02725","PSMA1; 20S proteasome subunit alpha 6 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Proteasome, 20S core particle",NA,NA,NA,NA,NA,NA
"608","K02725","PSMA1; 20S proteasome subunit alpha 6 [EC:3.4.25.1]","Structural complex","Genetic information processing","Proteasome","Immunoproteasome",NA,NA,NA,NA,NA,NA
"609","K17268","COPE; coatomer subunit epsilon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","K00161","PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Pyruvate oxidation, pyruvate => acetyl-CoA","Nutrient processing","PDH","PDH","PDHA, pdhA","pyruvate dehydrogenase E1 component alpha subunit ",""
"611","K00130","betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]","Pathway module","Nucleotide and amino acid metabolism","Serine and threonine metabolism","Betaine biosynthesis, choline => betaine",NA,NA,NA,NA,NA,NA
"612","K13051","iaaA, ASRGL1; beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
